user_email,logins_7d,logins_30d,features_used,api_calls_30d,last_login_days,session_avg_min,pages_viewed_30d
ashley.smith38@gmail.com,6,41,2,4464,1,11,358
betty.lee32@gmail.com,15,180,11,39722,1,45,1084
kenneth.allen42@fastmail.com,5,38,6,1436,3,12,351
michael.walker75@gmail.com,8,57,4,6005,1,18,393
betty.walker29@gmail.com,30,86,11,47110,2,42,2035
karen.sanchez76@company.co,18,78,11,32321,2,34,1193
amanda.moore56@outlook.com,6,25,2,1867,1,11,91
carol.flores8@fastmail.com,25,33,8,12919,3,20,481
brian.johnson88@outlook.com,11,15,4,1402,7,6,229
andrew.garcia75@outlook.com,0,2,1,41,144,3,6
emily.lee7@proton.me,0,2,1,0,168,1,7
george.harris34@gmail.com,4,34,3,2479,5,8,101
deborah.clark70@gmail.com,9,40,5,1056,4,16,426
kimberly.rodriguez51@outlook.com,10,27,4,2814,2,9,172
jennifer.jones35@proton.me,11,21,3,2445,4,15,190
michael.thompson78@proton.me,14,68,7,7612,0,19,1059
emily.clark5@fastmail.com,11,16,5,3251,3,11,151
paul.martinez3@fastmail.com,4,14,5,2481,3,6,224
linda.young9@proton.me,18,143,12,13671,1,19,1729
linda.davis78@fastmail.com,4,45,4,2291,0,6,149
margaret.jackson6@fastmail.com,24,139,10,24129,2,36,2569
melissa.sanchez48@gmail.com,0,0,1,31,70,2,2
thomas.thomas29@outlook.com,23,83,6,6802,1,23,1436
jessica.wright59@gmail.com,0,2,1,38,119,2,5
emily.williams51@proton.me,9,30,3,1959,4,13,224
paul.ramirez14@outlook.com,0,5,3,183,77,3,28
linda.walker46@fastmail.com,1,8,1,186,70,5,14
margaret.garcia33@fastmail.com,21,174,10,39822,2,23,504
lisa.wright13@outlook.com,11,26,5,2742,2,13,179
andrew.young12@fastmail.com,21,51,9,3855,1,28,712
george.johnson96@proton.me,19,95,7,12727,2,26,293
margaret.hernandez58@proton.me,0,2,1,34,117,1,6
elizabeth.gonzalez70@company.co,7,34,5,2380,2,9,38
mark.thomas44@gmail.com,4,25,2,3666,1,8,162
robert.jackson86@proton.me,21,45,10,3549,2,28,1113
william.williams4@proton.me,0,2,1,2,53,3,15
charles.lopez12@company.co,3,43,4,2123,5,12,228
george.hernandez25@fastmail.com,22,66,10,13998,3,26,945
mary.moore38@gmail.com,4,45,5,2284,5,18,493
margaret.taylor38@company.co,18,73,15,7454,2,28,1616
karen.hill35@gmail.com,11,33,7,1227,0,30,231
amanda.martin54@gmail.com,9,16,3,4224,1,18,381
christopher.garcia13@proton.me,15,9,5,1782,3,7,176
matthew.davis74@proton.me,0,3,1,20,170,3,12
paul.hill11@company.co,13,73,9,10323,1,10,1149
anthony.sanchez10@gmail.com,2,8,2,141,19,4,12
george.thomas92@outlook.com,0,1,1,44,49,1,2
william.rodriguez14@outlook.com,0,7,2,117,40,2,46
sarah.perez33@outlook.com,6,23,5,2721,1,13,192
george.martin47@outlook.com,29,134,11,36211,0,32,2007
margaret.gonzalez7@gmail.com,0,1,1,0,38,3,3
steven.nguyen30@company.co,12,19,4,2608,5,14,202
jessica.lewis56@outlook.com,0,0,1,48,102,0,4
michael.lopez5@proton.me,0,0,1,27,34,1,13
mark.sanchez2@fastmail.com,0,3,1,40,136,1,14
joshua.torres60@fastmail.com,9,13,4,3690,0,9,275
linda.white49@gmail.com,2,5,3,75,70,4,5
joseph.thompson83@proton.me,8,41,3,901,6,5,251
kevin.robinson83@gmail.com,28,167,13,41641,1,15,2792
karen.clark38@proton.me,3,43,6,730,4,11,93
amanda.davis65@proton.me,9,70,10,5322,3,27,261
jennifer.williams21@company.co,0,1,1,19,134,3,9
sandra.taylor5@proton.me,24,70,7,3016,1,28,235
timothy.ramirez39@proton.me,2,5,3,89,17,1,35
christopher.miller11@outlook.com,1,1,3,119,29,1,6
matthew.gonzalez83@outlook.com,0,0,1,4,149,2,9
brian.ramirez18@proton.me,1,6,3,131,48,1,48
donna.king64@outlook.com,22,75,10,45564,1,20,2652
dorothy.perez83@gmail.com,24,51,9,9235,1,28,1031
steven.martin13@gmail.com,10,56,10,12044,0,10,1477
ashley.thompson92@proton.me,27,96,13,25321,2,44,594
michelle.king82@fastmail.com,9,44,5,4452,0,13,274
melissa.scott15@gmail.com,13,66,4,13575,2,18,311
mary.king78@company.co,18,140,14,28256,0,42,1311
melissa.garcia73@outlook.com,12,30,6,12858,3,23,914
ashley.robinson27@outlook.com,8,14,4,1762,3,6,53
carol.wilson1@proton.me,0,0,1,29,166,2,1
richard.martinez32@proton.me,6,40,3,2445,3,7,211
carol.wilson56@company.co,5,42,3,4603,0,6,335
carol.martinez5@outlook.com,23,41,8,6007,2,30,1048
paul.perez87@fastmail.com,0,0,1,18,152,3,19
joshua.williams95@fastmail.com,4,30,5,4649,2,10,308
karen.perez23@proton.me,34,177,9,23435,0,36,1316
donald.anderson78@gmail.com,18,36,10,12391,0,16,774
sandra.martin51@company.co,9,14,3,1662,7,15,359
karen.king91@proton.me,40,176,14,29161,2,43,1756
donald.young51@company.co,0,1,1,49,112,2,19
george.hernandez7@proton.me,11,32,5,3915,0,18,118
lisa.smith42@proton.me,2,5,2,177,74,3,37
carol.wilson62@fastmail.com,36,123,10,13779,1,19,2107
linda.young41@gmail.com,0,1,1,5,30,0,9
andrew.wright33@outlook.com,4,31,2,1544,0,7,167
melissa.gonzalez66@company.co,2,4,1,139,43,1,27
michelle.walker13@company.co,9,20,3,2650,3,17,387
george.gonzalez65@fastmail.com,26,173,11,15799,0,28,648
andrew.king67@fastmail.com,1,1,2,105,64,4,10
barbara.rodriguez82@company.co,34,70,14,15109,0,37,708
william.garcia94@proton.me,23,40,9,13140,2,15,1117
linda.white48@gmail.com,12,23,5,974,3,19,78
sarah.young89@fastmail.com,23,100,9,48721,1,18,2389
kimberly.wilson49@gmail.com,6,50,2,2873,2,6,475
melissa.williams35@outlook.com,0,1,1,27,65,0,0
joshua.harris96@outlook.com,11,17,2,3757,2,15,455
robert.moore19@company.co,0,3,2,169,41,2,42
karen.hill74@gmail.com,33,83,10,8203,1,35,577
daniel.hernandez71@gmail.com,13,36,4,13077,0,18,1391
donald.clark74@fastmail.com,7,28,3,1119,3,7,207
daniel.hernandez29@outlook.com,2,2,3,15,57,1,31
melissa.perez27@company.co,0,1,1,0,143,0,19
melissa.perez39@fastmail.com,1,2,1,184,43,5,21
barbara.garcia25@outlook.com,3,23,2,2715,2,6,343
christopher.young4@company.co,11,19,5,1026,0,8,234
ashley.jackson8@proton.me,11,35,4,579,3,19,399
margaret.jackson54@company.co,0,0,1,38,132,1,7
mark.martinez23@proton.me,13,9,3,2767,5,15,128
linda.gonzalez67@company.co,1,6,2,9,21,5,49
emily.flores39@company.co,21,70,4,5155,3,29,1393
richard.jackson44@gmail.com,0,0,1,29,72,3,0
jennifer.jones42@fastmail.com,1,7,2,14,74,1,23
robert.smith58@outlook.com,1,3,3,8,46,1,26
william.king87@proton.me,6,29,3,3730,2,16,63
charles.moore74@outlook.com,0,8,3,8,62,1,30
jennifer.king99@gmail.com,4,49,5,2017,1,15,72
linda.hill90@outlook.com,6,41,2,754,5,20,117
anthony.robinson50@gmail.com,0,2,1,8,49,1,2
george.lewis91@proton.me,20,86,9,10326,1,30,551
christopher.hernandez17@gmail.com,1,4,1,164,39,5,19
steven.garcia29@fastmail.com,15,37,3,2360,1,13,257
elizabeth.sanchez7@gmail.com,0,1,1,33,80,2,15
carol.harris25@fastmail.com,13,88,8,5943,2,18,1133
james.clark81@gmail.com,36,166,13,40831,1,22,1181
matthew.wright89@outlook.com,0,1,1,46,57,0,2
daniel.garcia7@gmail.com,34,80,9,44867,2,24,2884
richard.taylor1@fastmail.com,3,44,5,3752,3,5,256
thomas.young91@proton.me,0,2,2,96,22,2,43
charles.flores47@company.co,8,8,3,2617,5,14,219
robert.hernandez65@gmail.com,23,77,5,1608,0,21,1019
mary.allen82@proton.me,2,3,2,177,14,1,2
elizabeth.davis7@gmail.com,0,0,1,15,116,3,0
john.thompson48@gmail.com,34,107,12,38605,2,30,628
kimberly.clark85@company.co,31,68,15,24457,2,21,1500
joshua.sanchez80@outlook.com,7,48,3,1555,5,14,215
joshua.clark28@proton.me,15,37,5,11468,0,11,497
christopher.jones68@company.co,12,28,3,1971,4,9,32
paul.hernandez58@outlook.com,2,2,2,193,47,5,27
joshua.walker13@company.co,13,51,5,14270,0,22,241
john.miller1@company.co,13,8,4,1120,4,7,184
margaret.clark84@company.co,1,3,2,96,74,3,37
betty.young4@proton.me,0,2,1,38,116,1,1
ashley.lee3@proton.me,23,38,7,14148,1,29,948
mark.hernandez41@outlook.com,9,23,3,798,4,14,214
steven.smith70@company.co,11,17,6,4711,2,5,422
kimberly.white49@proton.me,8,83,9,6420,0,15,877
joseph.lee3@company.co,12,45,4,918,3,19,318
betty.jackson31@outlook.com,12,18,3,4872,6,17,390
joseph.brown41@company.co,24,48,10,13267,2,12,896
brian.davis47@outlook.com,24,119,15,37868,2,25,2334
thomas.harris28@proton.me,7,25,5,1220,1,20,334
margaret.brown22@outlook.com,1,7,3,119,34,4,22
karen.wilson64@outlook.com,5,15,5,1897,3,10,205
andrew.lopez15@outlook.com,15,39,4,2145,3,11,197
susan.moore65@company.co,10,23,3,4227,6,19,340
karen.flores53@gmail.com,16,62,4,7701,1,28,362
michelle.robinson98@company.co,0,1,1,34,175,3,2
kenneth.robinson75@fastmail.com,8,22,5,2450,3,12,121
amanda.anderson13@company.co,7,42,2,4990,6,5,380
donald.ramirez98@company.co,11,69,5,14454,0,25,499
kevin.garcia76@gmail.com,8,87,9,14808,0,14,858
carol.lee16@gmail.com,21,99,8,5789,2,15,1457
kevin.king57@outlook.com,9,8,5,1731,3,8,50
mark.garcia91@gmail.com,18,91,10,37171,0,43,1882
john.jones50@gmail.com,2,4,3,89,70,2,5
christopher.white30@gmail.com,9,38,2,4000,5,16,111
richard.miller49@company.co,18,113,8,7134,0,36,2136
christopher.lee65@gmail.com,13,99,10,8056,3,16,955
elizabeth.wright85@proton.me,0,2,1,16,142,0,4
mark.garcia92@proton.me,37,124,9,39844,1,29,662
charles.hill10@company.co,12,31,4,11669,2,14,546
steven.young10@outlook.com,13,51,9,7139,3,13,813
betty.thompson78@company.co,19,120,15,21851,1,42,1251
andrew.smith84@fastmail.com,0,6,1,187,25,5,3
linda.martinez87@fastmail.com,21,30,6,14039,2,22,958
kenneth.lee8@outlook.com,10,33,4,6206,0,16,415
karen.walker58@fastmail.com,2,6,2,67,63,5,29
deborah.ramirez67@proton.me,0,3,1,20,131,2,11
joshua.moore21@company.co,0,4,2,190,14,5,32
kimberly.taylor74@outlook.com,22,165,8,15539,2,26,1787
brian.johnson78@proton.me,9,19,3,2280,0,13,277
elizabeth.white36@company.co,22,53,9,7130,3,17,528
andrew.martin61@outlook.com,16,180,8,38670,1,19,2246
deborah.rodriguez69@gmail.com,30,116,12,32225,0,38,1858
karen.hernandez56@gmail.com,10,84,5,7270,3,15,562
linda.gonzalez36@fastmail.com,13,51,5,10297,1,14,462
barbara.scott24@outlook.com,2,7,1,39,56,3,28
anthony.davis93@company.co,0,6,3,145,70,4,40
jessica.jackson45@outlook.com,9,33,3,1117,2,9,290
kenneth.brown43@proton.me,21,73,4,11138,3,26,556
michelle.allen85@gmail.com,2,0,3,75,73,4,24
charles.thomas34@gmail.com,14,25,2,2979,5,13,133
carol.martin10@outlook.com,4,30,5,516,2,15,272
christopher.jackson90@gmail.com,0,1,1,41,63,2,2
daniel.anderson12@gmail.com,7,13,3,988,5,10,288
richard.garcia41@outlook.com,7,31,2,3965,0,19,497
kenneth.martin94@fastmail.com,5,44,2,3642,6,20,296
kevin.clark22@company.co,3,37,2,884,2,19,107
donna.walker98@gmail.com,18,137,12,34771,0,22,1951
nancy.scott91@gmail.com,0,0,1,37,56,1,2
christopher.allen19@proton.me,0,3,1,11,154,2,9
andrew.thompson99@company.co,6,37,2,1212,3,10,178
amanda.white92@outlook.com,7,29,3,4346,0,19,169
barbara.flores70@outlook.com,38,66,14,20863,1,24,879
deborah.flores40@proton.me,12,12,4,362,5,9,208
nancy.anderson18@outlook.com,14,80,4,7635,3,30,872
carol.white25@proton.me,1,5,1,105,37,2,21
daniel.clark77@gmail.com,22,79,4,4082,0,23,958
linda.perez67@company.co,10,29,4,2904,1,10,394
donna.anderson27@proton.me,33,136,9,26618,2,27,1341
charles.clark2@proton.me,18,46,7,1604,1,11,860
christopher.harris18@gmail.com,0,1,1,21,71,2,14
sandra.lewis18@outlook.com,1,2,2,24,22,3,35
charles.harris37@company.co,12,18,2,346,3,9,232
joseph.garcia29@gmail.com,6,26,5,1303,5,10,35
betty.thompson58@outlook.com,15,80,4,13175,0,18,763
donna.young35@fastmail.com,0,2,1,10,114,1,9
jennifer.nguyen10@outlook.com,19,79,8,3767,3,23,490
paul.brown5@company.co,3,34,2,163,0,12,137
michael.sanchez75@fastmail.com,0,3,1,12,115,2,15
timothy.harris28@outlook.com,1,0,1,108,48,3,32
mary.moore46@outlook.com,31,159,8,26865,2,26,1715
carol.thomas30@company.co,7,38,5,2588,2,11,152
kenneth.allen9@fastmail.com,12,93,10,4499,2,28,1056
deborah.martin42@fastmail.com,12,28,6,1140,2,12,279
sandra.lee33@proton.me,0,0,1,112,45,1,34
joshua.young38@proton.me,0,0,1,22,133,3,15
donald.flores94@proton.me,0,8,1,199,22,5,2
amanda.davis83@outlook.com,33,135,8,46041,2,38,1905
betty.wilson78@gmail.com,9,39,3,4593,3,15,56
charles.scott33@outlook.com,0,0,1,29,117,1,11
richard.scott21@proton.me,14,81,5,3757,3,26,575
karen.williams24@company.co,0,0,1,1,48,0,7
margaret.wright95@gmail.com,4,39,5,308,1,15,387
george.clark78@proton.me,11,95,8,14638,0,20,838
thomas.rodriguez98@fastmail.com,0,3,1,38,30,3,14
matthew.hill25@outlook.com,0,2,1,48,144,3,0
steven.wilson14@fastmail.com,9,16,5,292,7,19,166
mary.nguyen87@company.co,5,12,5,4871,4,10,215
joshua.ramirez62@outlook.com,0,2,1,8,34,1,12
deborah.harris78@outlook.com,6,16,2,4008,0,7,68
anthony.martinez77@outlook.com,21,59,7,3280,0,15,675
andrew.miller11@fastmail.com,0,3,1,37,174,1,13
james.moore66@fastmail.com,1,0,3,175,24,1,48
melissa.smith78@outlook.com,12,14,6,3505,7,11,308
robert.walker26@proton.me,12,12,3,2921,5,11,416
dorothy.allen7@proton.me,9,49,3,4150,7,8,203
joseph.davis86@proton.me,0,0,1,125,32,5,20
sarah.hernandez15@gmail.com,25,93,7,6164,2,11,1067
dorothy.flores11@fastmail.com,10,35,6,330,1,5,329
robert.lewis36@proton.me,20,150,11,39533,0,43,1583
jennifer.allen80@outlook.com,7,29,6,1364,6,17,76
dorothy.ramirez66@outlook.com,18,169,10,22142,0,39,1501
kevin.scott98@outlook.com,30,161,13,20330,0,15,1433
nancy.perez54@company.co,11,37,3,2614,2,9,65
william.moore46@outlook.com,11,16,2,1466,7,10,228
steven.white16@proton.me,5,33,3,4099,1,18,69
joshua.martin9@company.co,38,61,13,44758,0,37,1690
christopher.flores78@fastmail.com,11,18,6,2820,7,17,255
ashley.robinson11@outlook.com,15,85,14,13267,2,39,1340
sandra.garcia38@company.co,6,39,5,1526,2,8,169
william.sanchez51@gmail.com,25,87,7,6854,3,28,568
elizabeth.moore18@gmail.com,16,38,7,4503,2,23,770
donna.brown31@proton.me,17,67,4,3207,3,28,680
timothy.young16@proton.me,10,17,4,746,2,8,131
jessica.lewis42@gmail.com,1,6,2,66,32,1,38
donna.lee82@outlook.com,19,112,8,48139,1,27,1681
sarah.jackson14@company.co,30,137,8,5320,0,18,1067
joshua.perez80@gmail.com,26,110,8,32851,1,31,930
william.lopez85@proton.me,23,85,12,13612,1,37,2496
william.king6@outlook.com,2,6,2,111,50,2,35
amanda.thompson19@fastmail.com,13,39,5,2934,3,6,124
donald.martin87@company.co,0,0,1,16,147,3,3
dorothy.walker69@company.co,4,26,3,3777,0,17,292
james.hernandez79@outlook.com,20,139,11,18230,0,36,2268
susan.davis11@company.co,22,94,4,10728,3,16,1372
thomas.ramirez63@company.co,7,33,4,262,1,11,76
patricia.williams61@company.co,25,179,8,45872,2,36,1592
melissa.perez14@fastmail.com,5,48,3,3935,6,18,285
susan.scott76@proton.me,13,30,3,2255,3,6,263
sarah.brown6@outlook.com,25,115,9,7046,0,37,2005
carol.robinson8@gmail.com,40,82,12,27638,0,19,1406
andrew.torres32@gmail.com,0,2,1,19,88,0,0
mark.scott63@company.co,3,9,4,194,1,15,209
richard.martin89@company.co,24,65,4,1267,3,18,590
mark.jones82@fastmail.com,6,31,5,1972,5,5,64
sandra.white17@company.co,12,16,3,2221,6,19,248
anthony.wright77@proton.me,25,35,10,12854,1,20,777
lisa.harris75@proton.me,1,8,1,70,37,3,19
steven.lee60@company.co,0,4,3,155,53,4,9
susan.sanchez57@fastmail.com,0,2,1,17,44,3,3
matthew.jones35@fastmail.com,3,13,4,2896,1,8,266
george.lee78@outlook.com,11,34,10,12320,2,26,1481
susan.ramirez83@fastmail.com,9,46,2,2484,2,19,174
dorothy.white6@fastmail.com,12,16,2,3576,1,13,354
brian.king22@fastmail.com,21,101,15,10900,2,23,1907
sarah.taylor42@outlook.com,3,24,5,4045,4,13,400
amanda.taylor72@company.co,11,47,3,210,1,19,360
brian.white71@company.co,14,32,7,13304,1,12,587
christopher.moore54@proton.me,7,26,3,621,4,13,266
patricia.flores65@fastmail.com,7,36,5,2934,4,7,184
patricia.torres51@fastmail.com,9,91,10,4190,2,25,476
george.moore65@outlook.com,17,84,9,5855,1,19,904
christopher.gonzalez42@company.co,3,14,5,957,2,11,241
joseph.walker70@company.co,10,23,2,4991,1,12,316
barbara.robinson28@company.co,0,2,1,35,164,1,10
sandra.thompson65@outlook.com,7,49,4,1158,4,19,315
charles.young9@gmail.com,0,0,1,45,44,3,1
michelle.gonzalez26@gmail.com,10,31,10,9383,2,11,672
sarah.jones90@outlook.com,4,8,5,2143,1,13,286
daniel.perez80@outlook.com,12,51,4,7426,3,19,1389
betty.allen48@gmail.com,10,27,5,1385,2,13,215
kimberly.sanchez28@gmail.com,1,7,3,130,81,5,0
margaret.moore73@proton.me,20,125,9,12736,1,19,2107
betty.white68@gmail.com,31,121,14,24798,0,26,2471
michael.sanchez13@gmail.com,0,1,1,26,138,0,3
ashley.walker64@gmail.com,7,41,2,974,1,14,210
timothy.wright59@outlook.com,23,74,5,6372,1,28,260
robert.jones85@proton.me,24,38,9,13512,3,19,389
karen.young78@outlook.com,11,77,5,9374,2,15,396
robert.williams62@proton.me,17,97,10,40913,1,32,1317
sarah.young57@outlook.com,7,49,5,1751,0,14,387
joshua.king66@company.co,0,1,1,40,73,2,12
linda.allen51@gmail.com,0,2,1,35,165,0,12
steven.hill84@outlook.com,0,2,1,47,66,2,12
deborah.rodriguez51@fastmail.com,4,41,3,374,0,20,269
donald.clark46@gmail.com,9,29,6,516,6,18,63
dorothy.clark31@company.co,7,13,6,4676,6,15,267
david.lopez72@gmail.com,4,22,2,735,1,8,286
kenneth.young71@company.co,2,2,2,61,90,4,29
david.johnson57@company.co,0,4,2,198,53,3,19
amanda.lee22@fastmail.com,19,84,9,3454,0,30,1217
melissa.nguyen77@fastmail.com,9,33,4,1516,0,10,105
richard.lopez45@outlook.com,10,16,2,3170,1,11,332
david.sanchez23@gmail.com,15,36,7,11329,0,11,1345
charles.thompson51@company.co,0,1,1,28,140,2,3
karen.king74@company.co,0,1,2,46,76,4,36
kevin.anderson95@outlook.com,0,2,1,27,51,1,2
sarah.smith38@gmail.com,36,120,8,30338,0,45,2511
mary.lee47@proton.me,3,42,2,1699,6,18,488
james.allen32@proton.me,6,23,3,360,5,9,65
james.walker69@proton.me,0,1,1,30,115,2,12
michelle.brown22@fastmail.com,9,82,5,6514,3,10,588
joshua.davis15@proton.me,4,38,3,2098,1,7,365
sandra.martin73@proton.me,0,1,2,153,39,2,49
brian.ramirez81@gmail.com,21,87,10,13931,2,27,1242
betty.anderson33@outlook.com,0,2,1,37,125,1,13
donna.rodriguez48@gmail.com,22,66,5,11434,1,25,974
elizabeth.hill63@company.co,24,102,14,22953,1,26,894
kevin.brown73@company.co,16,54,8,11266,2,15,313
john.sanchez54@company.co,24,104,14,42499,2,45,2914
ashley.williams45@proton.me,0,0,1,6,47,2,7
deborah.martin15@company.co,0,2,1,32,69,0,7
sandra.hill73@fastmail.com,0,3,1,38,90,1,13
kenneth.johnson86@proton.me,3,26,4,4185,2,10,336
sandra.flores9@company.co,18,33,8,10361,0,21,466
sandra.wilson72@proton.me,0,3,1,3,124,0,6
amanda.thomas10@outlook.com,12,70,6,4242,1,18,577
matthew.thomas22@company.co,16,66,8,9569,1,28,645
joseph.white9@proton.me,19,38,7,1563,1,19,413
mark.perez76@gmail.com,3,47,4,3956,0,12,173
kevin.wright97@fastmail.com,11,36,5,6625,0,23,436
jennifer.perez3@outlook.com,0,2,1,21,86,3,16
timothy.hernandez1@proton.me,2,6,2,106,69,5,4
michael.hernandez51@proton.me,21,39,5,14344,3,26,1390
robert.hill6@proton.me,16,51,6,13581,0,15,1087
jessica.lewis7@fastmail.com,0,1,1,36,41,1,13
matthew.young24@outlook.com,7,21,3,3163,3,7,359
donald.moore45@fastmail.com,3,24,2,3408,3,13,488
