requester_email,tickets_30d,tickets_90d,avg_resolution_hrs,escalations,csat_score,nps_score,last_ticket_days
sandra.lewis18@outlook.com,14,25,32,2,30,0,1
charles.harris37@company.co,5,8,17,0,77,7,10
joseph.garcia29@gmail.com,2,7,19,0,80,6,0
betty.thompson58@outlook.com,1,5,12,0,71,7,12
donna.young35@fastmail.com,0,2,,0,,,280
jennifer.nguyen10@outlook.com,3,3,4,0,73,7,43
paul.brown5@company.co,2,4,15,0,87,8,8
michael.sanchez75@fastmail.com,0,0,,0,,,226
timothy.harris28@outlook.com,10,25,37,5,33,0,5
mary.moore46@outlook.com,1,1,2,0,98,9,115
carol.thomas30@company.co,4,8,13,0,79,,18
kenneth.allen9@fastmail.com,1,7,6,1,73,9,43
deborah.martin42@fastmail.com,1,3,10,0,80,6,35
sandra.lee33@proton.me,10,31,53,3,36,2,13
joshua.young38@proton.me,0,0,,0,,,176
donald.flores94@proton.me,4,36,56,4,16,3,3
amanda.davis83@outlook.com,0,5,2,0,88,9,85
betty.wilson78@gmail.com,2,6,22,0,69,7,22
charles.scott33@outlook.com,0,0,,0,,4,202
richard.scott21@proton.me,2,6,5,0,74,9,7
karen.williams24@company.co,0,2,,0,,,69
margaret.wright95@gmail.com,3,7,21,0,85,8,58
george.clark78@proton.me,2,6,13,0,90,7,32
thomas.rodriguez98@fastmail.com,0,0,,0,,,263
matthew.hill25@outlook.com,0,2,,0,,,199
steven.wilson14@fastmail.com,0,1,19,0,69,6,36
mary.nguyen87@company.co,0,5,19,0,78,7,16
joshua.ramirez62@outlook.com,0,0,,0,,,60
deborah.harris78@outlook.com,1,1,15,0,62,5,17
anthony.martinez77@outlook.com,2,4,7,0,89,7,24
andrew.miller11@fastmail.com,0,0,,0,,,342
james.moore66@fastmail.com,5,22,19,1,44,1,6
melissa.smith78@outlook.com,1,8,6,0,74,7,14
robert.walker26@proton.me,2,8,8,0,72,5,57
dorothy.allen7@proton.me,2,7,16,0,77,8,42
joseph.davis86@proton.me,4,23,20,5,35,1,2
sarah.hernandez15@gmail.com,2,9,5,0,87,8,13
dorothy.flores11@fastmail.com,2,6,23,0,64,8,17
robert.lewis36@proton.me,2,0,6,0,85,8,63
jennifer.allen80@outlook.com,1,1,9,0,67,6,40
dorothy.ramirez66@outlook.com,0,4,4,0,90,8,46
kevin.scott98@outlook.com,1,4,4,0,99,8,89
nancy.perez54@company.co,4,6,8,0,90,,20
william.moore46@outlook.com,3,1,14,0,65,8,22
steven.white16@proton.me,1,4,15,0,74,8,15
joshua.martin9@company.co,2,1,7,0,89,10,65
christopher.flores78@fastmail.com,2,6,6,0,85,6,26
ashley.robinson11@outlook.com,0,3,7,0,97,9,59
sandra.garcia38@company.co,2,8,4,0,80,,0
william.sanchez51@gmail.com,2,4,12,0,87,7,42
elizabeth.moore18@gmail.com,1,7,5,1,89,8,9
donna.brown31@proton.me,1,5,4,1,89,8,36
timothy.young16@proton.me,1,8,8,0,65,,12
jessica.lewis42@gmail.com,6,30,43,4,40,3,10
donna.lee82@outlook.com,2,2,3,0,87,10,111
sarah.jackson14@company.co,1,2,7,0,91,10,38
joshua.perez80@gmail.com,1,5,3,0,88,9,80
william.lopez85@proton.me,0,5,5,0,97,10,69
william.king6@outlook.com,6,24,19,3,25,3,0
amanda.thompson19@fastmail.com,3,4,13,0,87,,3
donald.martin87@company.co,0,2,,0,,2,101
dorothy.walker69@company.co,3,1,6,0,72,7,15
james.hernandez79@outlook.com,1,0,6,0,88,9,95
susan.davis11@company.co,4,8,8,0,72,8,38
thomas.ramirez63@company.co,2,2,7,0,88,6,8
patricia.williams61@company.co,0,1,7,0,86,8,51
melissa.perez14@fastmail.com,2,1,17,0,78,6,47
susan.scott76@proton.me,5,1,4,0,87,6,7
sarah.brown6@outlook.com,0,3,4,0,94,9,41
carol.robinson8@gmail.com,0,5,3,0,96,9,67
andrew.torres32@gmail.com,0,0,,0,,,207
mark.scott63@company.co,2,7,19,0,69,6,5
richard.martin89@company.co,2,4,10,1,88,9,24
mark.jones82@fastmail.com,4,7,11,0,74,8,12
sandra.white17@company.co,3,7,8,0,60,7,51
anthony.wright77@proton.me,3,10,15,0,80,9,45
lisa.harris75@proton.me,5,12,41,2,35,0,7
steven.lee60@company.co,7,12,21,2,37,2,6
susan.sanchez57@fastmail.com,0,1,,0,,,81
matthew.jones35@fastmail.com,3,3,12,0,89,,21
george.lee78@outlook.com,2,10,13,1,76,7,11
susan.ramirez83@fastmail.com,1,1,15,0,72,7,34
dorothy.white6@fastmail.com,2,4,12,0,76,8,58
brian.king22@fastmail.com,0,4,1,0,86,10,45
sarah.taylor42@outlook.com,1,2,12,0,74,8,26
amanda.taylor72@company.co,0,3,8,0,60,6,24
brian.white71@company.co,2,3,15,1,86,8,13
christopher.moore54@proton.me,0,1,9,0,78,5,34
patricia.flores65@fastmail.com,5,8,14,0,80,,17
patricia.torres51@fastmail.com,3,5,15,1,72,8,38
george.moore65@outlook.com,2,2,11,0,85,9,31
christopher.gonzalez42@company.co,0,8,7,0,62,6,31
joseph.walker70@company.co,2,8,12,0,64,7,47
barbara.robinson28@company.co,0,1,,0,,4,103
sandra.thompson65@outlook.com,0,6,22,0,85,6,45
charles.young9@gmail.com,0,2,,0,,,227
michelle.gonzalez26@gmail.com,3,6,14,1,86,9,13
sarah.jones90@outlook.com,2,2,14,0,71,,2
daniel.perez80@outlook.com,2,3,15,0,80,9,26
betty.allen48@gmail.com,3,6,8,0,78,7,1
kimberly.sanchez28@gmail.com,5,15,31,3,25,1,11
margaret.moore73@proton.me,2,0,6,0,89,9,36
betty.white68@gmail.com,2,2,4,0,91,10,54
michael.sanchez13@gmail.com,0,1,,0,,5,140
ashley.walker64@gmail.com,0,8,11,0,60,6,23
timothy.wright59@outlook.com,1,4,13,0,88,8,11
robert.jones85@proton.me,1,4,7,0,81,9,27
karen.young78@outlook.com,4,7,5,1,81,9,8
robert.williams62@proton.me,0,0,5,0,87,10,82
sarah.young57@outlook.com,0,2,9,0,70,8,48
joshua.king66@company.co,0,2,,0,,,165
linda.allen51@gmail.com,0,1,,0,,,255
steven.hill84@outlook.com,15,24,61,1,33,2,10
deborah.rodriguez51@fastmail.com,0,7,11,0,77,7,56
donald.clark46@gmail.com,0,4,12,0,77,6,33
dorothy.clark31@company.co,1,6,15,0,62,6,44
david.lopez72@gmail.com,3,4,16,0,72,7,5
kenneth.young71@company.co,5,14,66,4,16,1,4
david.johnson57@company.co,7,16,27,4,19,0,5
amanda.lee22@fastmail.com,4,8,13,1,79,9,23
melissa.nguyen77@fastmail.com,0,3,16,0,83,6,44
richard.lopez45@outlook.com,2,6,7,0,69,5,37
david.sanchez23@gmail.com,2,5,6,1,90,9,27
charles.thompson51@company.co,0,1,,0,,5,90
karen.king74@company.co,15,16,18,2,27,0,11
kevin.anderson95@outlook.com,0,0,,0,,,196
sarah.smith38@gmail.com,2,1,3,0,89,8,64
mary.lee47@proton.me,3,7,7,0,73,5,35
james.allen32@proton.me,1,6,10,0,70,,3
james.walker69@proton.me,0,2,,0,,,188
michelle.brown22@fastmail.com,1,10,10,0,77,7,40
joshua.davis15@proton.me,2,4,20,0,76,6,57
sandra.martin73@proton.me,7,18,26,2,24,3,0
brian.ramirez81@gmail.com,4,7,10,0,73,7,40
betty.anderson33@outlook.com,0,2,,0,,,327
donna.rodriguez48@gmail.com,2,3,9,1,84,7,30
elizabeth.hill63@company.co,2,2,3,0,97,9,73
kevin.brown73@company.co,4,6,6,0,80,7,15
john.sanchez54@company.co,2,4,7,0,93,8,85
ashley.williams45@proton.me,0,0,,0,,,210
deborah.martin15@company.co,0,2,,0,,,272
sandra.hill73@fastmail.com,0,2,,0,,,147
kenneth.johnson86@proton.me,3,3,5,0,85,5,18
sandra.flores9@company.co,2,2,13,1,86,8,40
sandra.wilson72@proton.me,0,2,,0,,,61
amanda.thomas10@outlook.com,1,9,7,1,78,7,25
matthew.thomas22@company.co,3,6,15,1,72,7,13
joseph.white9@proton.me,4,8,8,0,90,9,44
mark.perez76@gmail.com,0,2,24,0,81,5,26
kevin.wright97@fastmail.com,3,2,15,0,72,9,12
jennifer.perez3@outlook.com,0,2,,0,,4,334
timothy.hernandez1@proton.me,10,18,51,2,38,3,7
michael.hernandez51@proton.me,2,8,13,1,90,8,25
robert.hill6@proton.me,1,3,6,0,89,9,28
jessica.lewis7@fastmail.com,0,0,,0,,5,339
matthew.young24@outlook.com,0,2,5,0,63,8,34
donald.moore45@fastmail.com,1,4,11,0,72,7,24
steven.wilson4@fastmail.com,0,8,12,0,72,5,38
amanda.wilson1@proton.me,1,3,15,0,72,8,41
betty.allen93@fastmail.com,13,31,23,2,20,0,1
thomas.williams9@proton.me,3,4,15,0,88,9,17
jennifer.rodriguez18@company.co,4,2,14,0,75,9,44
barbara.scott89@outlook.com,1,6,7,0,89,9,37
margaret.walker58@proton.me,2,1,2,0,95,9,32
carol.martin65@fastmail.com,3,5,10,0,75,8,38
daniel.king60@fastmail.com,2,2,4,0,93,10,40
sandra.taylor56@outlook.com,2,3,6,0,73,7,14
michelle.taylor5@proton.me,1,3,5,0,86,10,104
betty.anderson19@fastmail.com,0,2,,0,,,141
