id,email,name,plan,mrr,products,payment_failures_90d,delinquent
cus_ckuhfe6j9mm,christopher.nguyen61@fastmail.com,"Xero Group",starter,183,1,0,false
cus_yjzcyq6ju48,donald.nguyen76@proton.me,"Acme Group",business,477,4,0,false
cus_ltmqodl9t89,patricia.perez7@company.co,"Edge Systems",pro,185,1,2,true
cus_yuvs768r4ch,dorothy.ramirez80@outlook.com,"Nova Digital",starter,520,2,0,false
cus_zbdbxar62x,paul.clark8@proton.me,"Yoke Tech",starter,83,1,2,true
cus_fp42nqcv2od,lisa.ramirez85@outlook.com,"Acme AI",starter,100,1,0,false
cus_ccxof1sl1s,dorothy.lewis42@fastmail.com,"Jade Group",starter,94,1,1,false
cus_av5kap6vx8d,andrew.jackson57@proton.me,"Peak Labs",pro,120,1,3,false
cus_nv3z2huam4,lisa.scott96@gmail.com,"Grid Inc",enterprise,6018,5,0,false
cus_o5023zwgto,barbara.brown52@company.co,"Edge AI",pro,172,1,1,false
cus_vqv2s0oxez,joseph.lewis69@fastmail.com,"Quad Corp",pro,533,2,0,false
cus_vhe55me9xr,steven.jackson73@gmail.com,"Peak Systems",starter,197,1,3,false
cus_0ku3f9syw7y,matthew.brown29@fastmail.com,"Wave Group",pro,345,4,0,false
cus_45y2xm5qnxk,william.white33@outlook.com,"Mesa Tech",starter,333,1,1,false
cus_6akgig26p5i,steven.ramirez75@company.co,"Opal Corp",business,383,3,0,false
cus_8f61f4v3uaj,charles.jones93@company.co,"Nova Co",pro,174,1,0,false
cus_crhdhrjegj,christopher.johnson2@gmail.com,"Wave Systems",pro,190,1,0,false
cus_5lh8l6chpfi,robert.lee25@outlook.com,"Kite AI",pro,1042,2,0,false
cus_il1w18pdrm,steven.lewis17@proton.me,"Nova HQ",business,1480,3,0,false
cus_xickhrv9jp,sandra.perez89@proton.me,"Halo Group",enterprise,6929,4,0,false
cus_cjrzhd1trow,donna.martinez87@fastmail.com,"Rift Group",business,987,4,0,false
cus_za2p0gm9y2i,david.scott68@proton.me,"Grid Systems",pro,230,1,0,false
cus_bgkjqd90mqk,david.walker66@proton.me,"Zinc Co",starter,135,1,0,false
cus_dw3jhoq7nel,ashley.williams85@gmail.com,"Peak Digital",pro,458,3,0,false
cus_8hqihkjcah3,andrew.rodriguez40@outlook.com,"Rift Labs",starter,105,1,0,false
cus_o7j8hukpf,melissa.thompson66@fastmail.com,"Luna Systems",pro,402,2,1,false
cus_a0wmiy0zin8,linda.taylor11@outlook.com,"Nova AI",business,660,2,0,false
cus_2h7u2f3vv3q,james.ramirez72@gmail.com,"Xero HQ",pro,200,1,4,false
cus_4mrk80l6h4s,mark.johnson79@outlook.com,"Edge Labs",pro,54,1,3,false
cus_tjdz4u9rsb,mark.brown50@company.co,"Nova Corp",starter,219,1,0,false
cus_vddpp3dglwn,robert.hill25@proton.me,"Mesa Digital",business,316,4,0,false
cus_7r57ll6421d,ashley.ramirez93@company.co,"Edge Corp",pro,1199,2,0,false
cus_rd3k7ldgeb,jessica.smith58@fastmail.com,"Drift AI",starter,49,1,1,false
cus_n9k1jnu3hp,steven.jones66@outlook.com,"Zinc Group",pro,308,2,0,false
cus_o4gpktcpxz,charles.davis33@gmail.com,"Unit AI",starter,113,1,3,true
cus_cthxoj7fuou,christopher.miller28@outlook.com,"Volt Labs",starter,420,1,1,false
cus_88dt70tsafu,kevin.ramirez28@company.co,"Acme Digital",starter,65,1,1,false
cus_f0bgwmlljht,kenneth.scott46@proton.me,"Iron Group",starter,83,1,0,false
cus_h5o4ice5nkk,joseph.williams1@outlook.com,"Yoke Tech",starter,30,1,0,false
cus_pmdrmv6m5k,susan.white76@proton.me,"Rift Systems",enterprise,7013,6,0,false
cus_gyyoo19jib,ashley.gonzalez64@outlook.com,"Acme AI",starter,48,1,0,false
cus_5l3deiy09v,sandra.taylor32@outlook.com,"Drift Digital",starter,47,1,1,false
cus_5xw98yq9adi,brian.gonzalez14@fastmail.com,"Iron Corp",starter,70,1,1,false
cus_rlnt8zorcvf,kenneth.rodriguez63@outlook.com,"Wave Co",starter,563,3,1,false
cus_bwobnx49wqi,joshua.allen54@company.co,"Mesa Corp",starter,80,1,2,false
cus_6ai8j6uhzdq,sarah.lopez16@company.co,"Yoke HQ",starter,524,2,0,false
cus_ro42nf1jqti,kenneth.torres58@outlook.com,"Drift Inc",business,385,4,0,false
cus_ngxdr0g2kf,dorothy.moore37@company.co,"Flux Tech",starter,77,1,5,false
cus_e2tcv43c0k,jennifer.walker43@outlook.com,"Halo Inc",starter,62,1,1,false
cus_dda0b4yi3l7,carol.davis20@gmail.com,"Nova HQ",starter,175,1,3,false
cus_bkcuab616o4,david.martin80@fastmail.com,"Flux Inc",pro,450,3,0,false
cus_gntt0bykzic,susan.flores69@fastmail.com,"Drift HQ",pro,1358,2,0,false
cus_n9zpxmmgne,joseph.williams43@gmail.com,"Iron HQ",starter,189,1,0,false
cus_c9c72onnwoc,karen.davis9@gmail.com,"Jade Corp",enterprise,6418,7,0,false
cus_sawwisnx6m,james.anderson37@fastmail.com,"Tide AI",pro,168,1,5,true
cus_p5h67kyx7mk,elizabeth.nguyen58@outlook.com,"Iron Systems",starter,109,1,0,false
cus_prb796xh1jc,ashley.flores39@fastmail.com,"Drift Digital",starter,184,1,0,false
cus_o49z0vt1679,ashley.smith38@gmail.com,"Halo Corp",pro,275,3,1,false
cus_4mwrndjg34a,betty.lee32@gmail.com,"Zinc AI",enterprise,6653,4,0,false
cus_3em96nh4rrm,kenneth.allen42@fastmail.com,"Unit Systems",starter,149,1,0,false
cus_rkpesgrox4,michael.walker75@gmail.com,"Tide HQ",pro,959,3,0,false
cus_ibm42z22dd,betty.walker29@gmail.com,"Wave AI",enterprise,3966,4,0,false
cus_x5buttc5lw,karen.sanchez76@company.co,"Tide Group",enterprise,2053,7,0,false
cus_xoxy039awzl,amanda.moore56@outlook.com,"Crest AI",starter,593,3,0,false
cus_an9ukeo9wqi,carol.flores8@fastmail.com,"Bolt HQ",business,350,2,0,false
cus_e56c43bj7o,brian.johnson88@outlook.com,"Peak Co",starter,556,3,0,false
cus_9zku519vgui,andrew.garcia75@outlook.com,"Wave Digital",starter,58,1,2,false
cus_3tob4i36jsa,emily.lee7@proton.me,"Opal Tech",starter,91,1,0,false
cus_5twmnsu0skk,george.harris34@gmail.com,"Edge Labs",pro,260,1,0,false
cus_eobr5yg4g4,deborah.clark70@gmail.com,"Quad Digital",pro,357,1,0,false
cus_fzv7nfhauja,kimberly.rodriguez51@outlook.com,"Jade Corp",starter,236,1,0,false
cus_3gr5r3n60ws,jennifer.jones35@proton.me,"Unit AI",starter,298,1,0,false
cus_diaqlvh2be,michael.thompson78@proton.me,"Jade Inc",pro,535,3,0,false
cus_hkq0fhex8ft,emily.clark5@fastmail.com,"Quad Tech",starter,207,1,0,false
cus_08076l1v70gf,paul.martinez3@fastmail.com,"Zinc Corp",starter,270,1,0,false
cus_i9mywmibce,linda.young9@proton.me,"Edge Inc",enterprise,7150,5,0,false
cus_er44iqhjj75,linda.davis78@fastmail.com,"Unit Corp",pro,327,1,0,false
cus_deqra27vads,margaret.jackson6@fastmail.com,"Yoke Digital",enterprise,6541,5,0,false
cus_l4l8l24gme,melissa.sanchez48@gmail.com,"Rift Co",starter,62,1,2,false
cus_6zctwcr7abv,thomas.thomas29@outlook.com,"Unit Tech",pro,1298,4,0,false
cus_aw390lrsf8t,jessica.wright59@gmail.com,"Flux Inc",starter,68,1,2,false
cus_90wtz4qr1mf,emily.williams51@proton.me,"Luna Systems",pro,209,1,0,false
cus_x6mrzfwi7h,paul.ramirez14@outlook.com,"Edge Digital",starter,49,1,1,true
cus_zltl1zttdva,linda.walker46@fastmail.com,"Quad Inc",starter,82,1,2,true
cus_ehk5enr809a,margaret.garcia33@fastmail.com,"Iron Labs",enterprise,5544,5,0,false
cus_ejxos6q9kvf,lisa.wright13@outlook.com,"Edge Group",pro,298,1,0,false
cus_5bcqstfnyae,andrew.young12@fastmail.com,"Unit AI",business,798,4,0,false
cus_x1pqwj11e3,george.johnson96@proton.me,"Grid Group",business,588,3,0,false
cus_ceqv121641,margaret.hernandez58@proton.me,"Bolt Labs",starter,33,1,0,true
cus_hi4gxweq265,elizabeth.gonzalez70@company.co,"Sage Inc",pro,288,1,0,false
cus_tarf3q7nv4b,mark.thomas44@gmail.com,"Luna AI",pro,499,3,0,false
cus_kgwhuhfw29a,robert.jackson86@proton.me,"Drift Systems",business,301,3,0,false
cus_mnnqwshlvmf,william.williams4@proton.me,"Halo Tech",starter,64,1,0,false
cus_1vwi05c3dv3,charles.lopez12@company.co,"Nova Co",pro,315,3,0,false
cus_xndacw27r4,george.hernandez25@fastmail.com,"Sage Systems",pro,930,4,0,false
cus_lm3qcg1bwf,mary.moore38@gmail.com,"Edge Co",pro,243,1,0,false
cus_d6sdgqko94c,margaret.taylor38@company.co,"Grid Corp",enterprise,4228,5,0,false
cus_k57qz03xor7,karen.hill35@gmail.com,"Peak Digital",business,1274,2,0,false
cus_zpwca33n5j,amanda.martin54@gmail.com,"Kite AI",pro,138,1,1,false
cus_kn13y5u4c3m,christopher.garcia13@proton.me,"Tide Tech",pro,194,1,0,false
cus_tjq6vflf2ok,matthew.davis74@proton.me,"Opal Systems",starter,43,1,0,false
cus_psu3buccavj,paul.hill11@company.co,"Sage Digital",pro,608,3,0,false
cus_dzbz2wdtww,anthony.sanchez10@gmail.com,"Mesa Corp",pro,53,1,5,true
cus_g2wu6q8f0nw,george.thomas92@outlook.com,"Unit Corp",starter,74,1,1,false
cus_uwqai8y0wwq,william.rodriguez14@outlook.com,"Drift HQ",pro,142,1,2,true
cus_o1oxzjlplf8,sarah.perez33@outlook.com,"Peak Labs",starter,138,1,0,false
cus_gm6w10mhgi,george.martin47@outlook.com,"Jade HQ",enterprise,5545,4,0,false
cus_nmp8aukt6os,margaret.gonzalez7@gmail.com,"Peak Digital",starter,83,1,1,true
cus_fnjiy52q6bm,steven.nguyen30@company.co,"Yoke Co",starter,62,1,0,false
cus_gkz1gijnpa,jessica.lewis56@outlook.com,"Unit Digital",starter,98,1,2,false
cus_zlinx6i964,michael.lopez5@proton.me,"Zinc Tech",starter,85,1,0,false
cus_bxy4ffc8eer,mark.sanchez2@fastmail.com,"Tide Labs",starter,54,1,2,false
cus_nj4dnlm7sf,joshua.torres60@fastmail.com,"Peak Systems",pro,479,2,1,false
cus_l3j95p2hu7l,linda.white49@gmail.com,"Crest Group",pro,133,1,5,false
cus_4cp74akpics,joseph.thompson83@proton.me,"Volt Systems",starter,172,2,1,false
cus_wwgylcg68z,kevin.robinson83@gmail.com,"Tide Systems",enterprise,2693,4,0,false
cus_k0gw1e1fz4p,karen.clark38@proton.me,"Bolt Group",starter,414,2,1,false
cus_p1cnbbdi1sq,amanda.davis65@proton.me,"Volt AI",pro,944,3,0,false
cus_wownqjeqrcd,jennifer.williams21@company.co,"Iron Digital",starter,85,1,0,false
cus_dynizh1xsvp,sandra.taylor5@proton.me,"Grid Digital",pro,413,2,0,false
cus_lzd8pi041z,timothy.ramirez39@proton.me,"Xero HQ",pro,192,1,5,true
cus_luvklyy7otl,christopher.miller11@outlook.com,"Peak Inc",starter,108,1,4,false
cus_c8mlhk5pdyt,matthew.gonzalez83@outlook.com,"Rift Group",starter,72,1,1,false
cus_5rsshe5ud7u,brian.ramirez18@proton.me,"Drift Digital",starter,139,1,2,true
cus_6ngxx68t4tb,donna.king64@outlook.com,"Xero Corp",enterprise,2416,6,0,false
cus_l4v4elm2xem,dorothy.perez83@gmail.com,"Tide HQ",pro,909,4,0,false
cus_svu6o4d6y5,steven.martin13@gmail.com,"Halo Digital",pro,399,4,0,false
cus_8bwe5anyuxq,ashley.thompson92@proton.me,"Unit Digital",enterprise,6628,6,0,false
cus_3i8g7ev1h7l,michelle.king82@fastmail.com,"Tide Labs",pro,569,1,0,false
cus_bp5rvmo8zg6,melissa.scott15@gmail.com,"Opal Inc",business,1378,3,0,false
cus_rjzv4pauf3,mary.king78@company.co,"Acme HQ",enterprise,5107,7,0,false
cus_1yf20ov2sws,melissa.garcia73@outlook.com,"Halo Digital",pro,372,2,0,false
cus_acto8q5fznb,ashley.robinson27@outlook.com,"Sage Labs",starter,219,1,0,false
cus_zn3vzz90r0a,carol.wilson1@proton.me,"Opal Group",starter,59,1,2,false
cus_oyld5629cb,richard.martinez32@proton.me,"Drift HQ",pro,263,1,0,false
cus_d99bfoa6fob,carol.wilson56@company.co,"Tide Group",pro,438,3,0,false
cus_oab5mwiktr,carol.martinez5@outlook.com,"Luna Inc",pro,678,3,0,false
cus_x110umne98h,paul.perez87@fastmail.com,"Mesa Co",starter,87,1,0,false
cus_2zt6jwdom46,joshua.williams95@fastmail.com,"Volt Labs",starter,232,1,0,false
cus_2o2wbyuo4x7,karen.perez23@proton.me,"Drift Corp",enterprise,7716,6,0,false
cus_hlolie6ps6p,donald.anderson78@gmail.com,"Yoke Tech",business,1368,2,0,false
cus_xxnnc3cvrx8,sandra.martin51@company.co,"Nova Group",starter,468,2,0,false
cus_7q4n2kfdfq3,karen.king91@proton.me,"Peak Co",enterprise,6129,4,0,false
cus_u3sdvnze53s,donald.young51@company.co,"Sage Group",starter,82,1,2,true
cus_xlukjgkwp1n,george.hernandez7@proton.me,"Mesa AI",pro,535,3,1,false
cus_h5qslumvi0g,lisa.smith42@proton.me,"Flux Digital",starter,162,1,4,true
cus_lrfbu2ja9hb,carol.wilson62@fastmail.com,"Xero AI",enterprise,5426,4,0,false
cus_g504mmpa2ca,linda.young41@gmail.com,"Volt Systems",starter,76,1,1,false
cus_dhjxvarpl65,andrew.wright33@outlook.com,"Iron Inc",starter,118,1,0,false
cus_kebnkhrwauj,melissa.gonzalez66@company.co,"Flux Inc",starter,153,1,5,true
cus_clbuoengblu,michelle.walker13@company.co,"Edge Systems",pro,407,1,1,false
cus_2yx80k7xhzo,george.gonzalez65@fastmail.com,"Drift HQ",enterprise,5212,7,0,false
cus_yacxufqxd5,andrew.king67@fastmail.com,"Luna HQ",pro,39,1,4,true
cus_yqyakpvrzon,barbara.rodriguez82@company.co,"Grid Labs",enterprise,4907,4,0,false
cus_af9p0lu5ps,william.garcia94@proton.me,"Edge HQ",pro,964,2,0,false
cus_i15t3tisms,linda.white48@gmail.com,"Sage Digital",pro,211,1,0,false
cus_4thj8kz46wl,sarah.young89@fastmail.com,"Halo Labs",enterprise,6740,4,0,false
cus_jmy3txpd5i,kimberly.wilson49@gmail.com,"Flux Systems",pro,291,1,1,false
cus_7t9ig4jsd0e,melissa.williams35@outlook.com,"Kite Systems",starter,62,1,2,false
cus_nnmqr0mjd8,joshua.harris96@outlook.com,"Mesa Group",starter,130,1,1,false
cus_w3pbqws24zo,robert.moore19@company.co,"Nova Digital",starter,144,1,1,true
cus_wtvpybp79z9,karen.hill74@gmail.com,"Crest Tech",enterprise,2979,5,0,false
cus_kb2m6wk53cr,daniel.hernandez71@gmail.com,"Rift HQ",pro,736,3,0,false
cus_kqezdxzmpln,donald.clark74@fastmail.com,"Flux Tech",starter,238,1,0,false
cus_1ce73pocabd,daniel.hernandez29@outlook.com,"Iron HQ",starter,136,1,1,true
cus_1qmbqqeamrf,melissa.perez27@company.co,"Zinc Systems",starter,36,1,1,false
cus_zonybh2aw1m,melissa.perez39@fastmail.com,"Acme Labs",pro,168,1,5,true
cus_c6qkycix2sj,barbara.garcia25@outlook.com,"Rift AI",starter,542,1,1,false
cus_fvaiuomc7a,christopher.young4@company.co,"Edge Tech",pro,66,1,0,false
cus_youv4i12quq,ashley.jackson8@proton.me,"Peak Digital",starter,468,1,0,false
cus_cur1mdmpc4c,margaret.jackson54@company.co,"Zinc Corp",starter,74,1,2,false
cus_jus4gxmg5qb,mark.martinez23@proton.me,"Opal Digital",starter,167,1,0,false
cus_9iisbr57tna,linda.gonzalez67@company.co,"Wave Systems",pro,183,1,5,false
cus_u452h4btba,emily.flores39@company.co,"Acme Inc",pro,801,4,0,false
cus_jvyz5rrerx,richard.jackson44@gmail.com,"Luna Corp",starter,93,1,2,false
cus_r2o9vpr2vjm,jennifer.jones42@fastmail.com,"Crest Digital",pro,153,1,1,false
cus_f57j23icn5s,robert.smith58@outlook.com,"Rift Tech",pro,73,1,1,true
cus_os2m658ne6,william.king87@proton.me,"Opal Inc",pro,197,1,1,false
cus_lpg24pslbl,charles.moore74@outlook.com,"Iron Systems",pro,39,1,1,false
cus_ku3jj3o3qh,jennifer.king99@gmail.com,"Jade AI",starter,134,2,1,false
cus_g7jly0iuh4d,linda.hill90@outlook.com,"Bolt HQ",starter,466,3,0,false
cus_led0j34383,anthony.robinson50@gmail.com,"Xero AI",starter,94,1,0,false
cus_7v89372x6p5,george.lewis91@proton.me,"Zinc Group",pro,925,3,0,false
cus_29bdvrsnew8,christopher.hernandez17@gmail.com,"Jade Systems",pro,142,1,1,true
cus_3oo6rlpemr8,steven.garcia29@fastmail.com,"Flux Group",starter,180,1,0,false
cus_xqvzg55jqwj,elizabeth.sanchez7@gmail.com,"Edge Tech",starter,99,1,0,false
cus_e2ny3p79fmp,carol.harris25@fastmail.com,"Quad Labs",business,495,4,0,false
cus_o8c2t23vnp,james.clark81@gmail.com,"Opal Co",enterprise,2102,6,0,false
cus_cd3f5tqcygm,matthew.wright89@outlook.com,"Nova Inc",starter,87,1,1,false
cus_p9u99qbqm8,daniel.garcia7@gmail.com,"Yoke Labs",enterprise,5978,5,0,false
cus_aq2j2jpcr0f,richard.taylor1@fastmail.com,"Flux Corp",starter,406,3,0,false
cus_zytaqp1e7g,thomas.young91@proton.me,"Yoke Tech",starter,157,1,2,true
cus_fflof3z6ey5,charles.flores47@company.co,"Wave HQ",pro,105,1,0,false
cus_pac5pg2tba,robert.hernandez65@gmail.com,"Luna Group",pro,332,4,0,false
cus_tb5jlct1ol,mary.allen82@proton.me,"Acme Tech",pro,181,1,3,false
cus_9xgdx7n5qml,elizabeth.davis7@gmail.com,"Yoke AI",starter,51,1,1,false
cus_447wenw19mv,john.thompson48@gmail.com,"Opal Tech",enterprise,6841,7,0,false
cus_lxma58ylkxf,kimberly.clark85@company.co,"Kite Co",enterprise,4404,6,0,false
cus_6t4ohn2zmqu,joshua.sanchez80@outlook.com,"Zinc Group",starter,353,1,0,false
cus_vkqjk67liwp,joshua.clark28@proton.me,"Bolt Inc",pro,1197,3,0,false
cus_4gk3n53b9px,christopher.jones68@company.co,"Volt Digital",starter,100,1,0,false
cus_9spenhceygi,paul.hernandez58@outlook.com,"Flux Inc",pro,138,1,5,true
cus_in55pao52ms,joshua.walker13@company.co,"Luna Inc",pro,940,4,0,false
cus_omj78txh3r,john.miller1@company.co,"Drift Digital",pro,274,1,0,false
cus_16az1piz6kb,margaret.clark84@company.co,"Yoke Systems",pro,47,1,2,false
cus_7l5jf878eor,betty.young4@proton.me,"Nova Digital",starter,73,1,0,false
cus_ktf3jbjvwn9,ashley.lee3@proton.me,"Nova Labs",pro,1182,3,0,false
cus_rkvrrflxbyq,mark.hernandez41@outlook.com,"Bolt Inc",pro,184,1,0,false
cus_l98zjr1uw9k,steven.smith70@company.co,"Halo Corp",starter,392,3,0,false
cus_pkhjpkju5rh,kimberly.white49@proton.me,"Crest Tech",business,1051,3,0,false
cus_47apiy05mun,joseph.lee3@company.co,"Crest AI",pro,105,1,1,false
cus_q7mlxspaob,betty.jackson31@outlook.com,"Quad HQ",starter,272,2,0,false
cus_wcejbsh6j3p,joseph.brown41@company.co,"Luna Corp",business,689,3,0,false
cus_o19xww0fiu,brian.davis47@outlook.com,"Flux Group",enterprise,5311,7,0,false
cus_dxlglphcmud,thomas.harris28@proton.me,"Flux Systems",starter,433,2,1,false
cus_olz4vgn1jlb,margaret.brown22@outlook.com,"Unit AI",starter,180,1,1,true
cus_6b6ql26pbnu,karen.wilson64@outlook.com,"Wave AI",pro,52,1,0,false
cus_8kf1qzi4c8i,andrew.lopez15@outlook.com,"Luna Systems",starter,54,1,0,false
cus_8hjmvwys2jt,susan.moore65@company.co,"Mesa Inc",starter,575,2,1,false
cus_3d6e8ee3bcr,karen.flores53@gmail.com,"Unit Inc",pro,588,4,0,false
cus_ersy9fxvgm,michelle.robinson98@company.co,"Kite Group",starter,81,1,1,true
cus_c8aofqf3mo,kenneth.robinson75@fastmail.com,"Crest Corp",pro,103,1,0,false
cus_65c7oqy759x,amanda.anderson13@company.co,"Edge Corp",starter,286,2,1,false
cus_jkzmxuqwxpm,donald.ramirez98@company.co,"Drift Corp",business,471,3,0,false
cus_cba4kljotjc,kevin.garcia76@gmail.com,"Kite Digital",pro,1182,3,0,false
cus_ubpic5w464c,carol.lee16@gmail.com,"Tide Group",pro,1114,3,0,false
cus_y27mr3qzxf,kevin.king57@outlook.com,"Jade Tech",starter,184,1,0,false
cus_vhp6ekyb53k,mark.garcia91@gmail.com,"Yoke Digital",enterprise,2753,4,0,false
cus_5hdtj5l1rx9,john.jones50@gmail.com,"Opal Inc",pro,46,1,1,false
cus_vqamkcz3gbj,christopher.white30@gmail.com,"Jade Labs",starter,440,3,0,false
cus_zniuyyt682c,richard.miller49@company.co,"Bolt Tech",enterprise,5988,4,0,false
cus_okxqdce9fo8,christopher.lee65@gmail.com,"Volt AI",business,1144,4,0,false
cus_5gasz3h9yzq,elizabeth.wright85@proton.me,"Volt Tech",starter,47,1,1,false
cus_kb1wo1hde1r,mark.garcia92@proton.me,"Rift HQ",enterprise,5785,4,0,false
cus_tvx3r6sjz8,charles.hill10@company.co,"Bolt Tech",pro,488,4,0,false
cus_d9zjsr4ipxh,steven.young10@outlook.com,"Yoke HQ",business,1319,4,0,false
cus_x9ufw8ber59,betty.thompson78@company.co,"Iron Digital",enterprise,5740,7,0,false
cus_nbsux5ul2u,andrew.smith84@fastmail.com,"Flux Corp",pro,199,1,4,false
cus_zhb471mscg,linda.martinez87@fastmail.com,"Edge AI",pro,1499,3,0,false
cus_xai2d1msp4,kenneth.lee8@outlook.com,"Bolt Group",pro,728,4,0,false
cus_ogjg5znu0ir,karen.walker58@fastmail.com,"Crest Tech",starter,185,1,3,false
cus_7y628aczrsm,deborah.ramirez67@proton.me,"Yoke Co",starter,96,1,0,false
cus_95svq7bhymg,joshua.moore21@company.co,"Grid HQ",pro,41,1,3,true
cus_begb0p2kfrd,kimberly.taylor74@outlook.com,"Drift Corp",enterprise,7970,6,0,false
cus_84sln2pa7lh,brian.johnson78@proton.me,"Nova Inc",starter,154,1,0,false
cus_dgxnbf8b2n5,elizabeth.white36@company.co,"Tide AI",business,771,4,0,false
cus_jeqkeb4d15m,andrew.martin61@outlook.com,"Drift Inc",enterprise,5971,6,0,false
